 INFO  Accepting connections at http://localhost:3000
 HTTP  19/02/2026 21:18:16 100.80.97.51 GET /
 HTTP  19/02/2026 21:18:16 100.80.97.51 Returned 200 in 14 ms
 HTTP  19/02/2026 21:18:16 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:18:16 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:18:16 100.80.97.51 Returned 304 in 4 ms
 HTTP  19/02/2026 21:18:16 100.80.97.51 Returned 304 in 7 ms
 HTTP  19/02/2026 21:18:17 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:18:17 100.80.97.51 Returned 200 in 4 ms
 HTTP  19/02/2026 21:18:23 100.80.97.51 GET /manifest.json
 HTTP  19/02/2026 21:18:23 100.80.97.51 Returned 200 in 4 ms
 HTTP  19/02/2026 21:18:23 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:18:23 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:18:43 100.80.97.51 GET /
 HTTP  19/02/2026 21:18:43 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:18:43 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:18:43 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:18:43 100.80.97.51 Returned 304 in 3 ms
 HTTP  19/02/2026 21:18:43 100.80.97.51 Returned 304 in 3 ms
 HTTP  19/02/2026 21:18:43 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:18:43 100.80.97.51 Returned 304 in 4 ms
 HTTP  19/02/2026 21:19:19 100.108.197.117 GET /
 HTTP  19/02/2026 21:19:19 100.108.197.117 Returned 200 in 2 ms
 HTTP  19/02/2026 21:19:19 100.108.197.117 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:19:19 100.108.197.117 Returned 304 in 1 ms
 HTTP  19/02/2026 21:19:19 100.108.197.117 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:19:19 100.108.197.117 Returned 304 in 2 ms
 HTTP  19/02/2026 21:19:19 100.108.197.117 GET /weather-icon.svg
 HTTP  19/02/2026 21:19:19 100.108.197.117 Returned 200 in 2 ms
 HTTP  19/02/2026 21:19:38 100.80.97.51 GET /manifest.json
 HTTP  19/02/2026 21:19:38 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:19:38 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:19:38 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:21:59 100.80.97.51 GET /
 HTTP  19/02/2026 21:21:59 100.80.97.51 Returned 304 in 3 ms
 HTTP  19/02/2026 21:22:00 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:22:00 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:22:00 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:22:00 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:22:00 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:22:00 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:22:04 100.80.97.51 GET /manifest.json
 HTTP  19/02/2026 21:22:04 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:22:05 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:22:05 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:22:42 100.80.97.51 GET /
 HTTP  19/02/2026 21:22:42 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:22:42 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:22:42 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:22:42 100.80.97.51 Returned 304 in 3 ms
 HTTP  19/02/2026 21:22:42 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:22:42 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:22:42 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:22:46 100.80.97.51 GET /
 HTTP  19/02/2026 21:22:46 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:22:46 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:22:46 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:22:46 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:22:46 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:22:47 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:22:47 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:22:49 100.80.97.51 GET /manifest.json
 HTTP  19/02/2026 21:22:49 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:22:49 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:22:49 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:10 100.80.97.51 GET /
 HTTP  19/02/2026 21:23:10 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:23:10 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:23:10 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:23:10 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:10 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:23:10 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:23:10 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:11 100.80.97.51 GET /
 HTTP  19/02/2026 21:23:11 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:11 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:23:11 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:23:11 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:11 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:23:11 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:23:11 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:24:15 100.80.97.51 GET /
 HTTP  19/02/2026 21:24:15 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:24:15 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:24:15 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:24:15 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:24:15 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:24:15 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:24:15 100.80.97.51 Returned 304 in 0 ms
 HTTP  19/02/2026 21:26:51 100.80.97.51 GET /
 HTTP  19/02/2026 21:26:51 100.80.97.51 Returned 200 in 2 ms
 HTTP  19/02/2026 21:26:51 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:26:51 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:26:51 100.80.97.51 Returned 200 in 4 ms
 HTTP  19/02/2026 21:26:51 100.80.97.51 Returned 200 in 4 ms
 HTTP  19/02/2026 21:26:51 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:26:51 100.80.97.51 Returned 200 in 1 ms
 HTTP  19/02/2026 21:30:01 100.80.97.51 GET /
 HTTP  19/02/2026 21:30:01 100.80.97.51 Returned 200 in 2 ms
 HTTP  19/02/2026 21:30:01 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:30:01 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:30:01 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:30:01 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:32:08 100.80.97.51 GET /
 HTTP  19/02/2026 21:32:08 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:32:08 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:32:08 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:32:08 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:32:08 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:32:08 100.80.97.51 GET /weather-icon.svg
 HTTP  19/02/2026 21:32:08 100.80.97.51 Returned 304 in 1 ms
 HTTP  19/02/2026 21:34:23 100.80.97.51 GET /
 HTTP  19/02/2026 21:34:23 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:34:23 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:34:23 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:34:23 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:34:23 100.80.97.51 Returned 304 in 2 ms
 HTTP  19/02/2026 21:48:43 100.80.97.51 GET /
 HTTP  19/02/2026 21:48:43 100.80.97.51 Returned 200 in 2 ms
 HTTP  19/02/2026 21:48:43 100.80.97.51 GET /assets/index-C_ixqoED.js
 HTTP  19/02/2026 21:48:43 100.80.97.51 GET /assets/index-CFVvAVb1.css
 HTTP  19/02/2026 21:48:43 100.80.97.51 Returned 200 in 2 ms
